URL: /
Timestamp: Thu Sep 29 2022 17:09:44 GMT-0400 (Eastern Daylight Time)

URL: /test.js
Timestamp: Thu Sep 29 2022 17:09:44 GMT-0400 (Eastern Daylight Time)

URL: /favicon.ico
Timestamp: Thu Sep 29 2022 17:09:44 GMT-0400 (Eastern Daylight Time)

::1 - - [03/Oct/2022:21:53:36 +0000] "GET /movies/ang20%lee HTTP/1.1" 500 16
::1 - - [03/Oct/2022:21:54:22 +0000] "GET /movies/ang%20lee HTTP/1.1" 400 15
::1 - - [03/Oct/2022:21:54:30 +0000] "GET /movies/Hero HTTP/1.1" 200 611
::1 - - [03/Oct/2022:21:56:08 +0000] "GET /movies/genre HTTP/1.1" 400 15
::1 - - [03/Oct/2022:21:56:10 +0000] "GET /movies/action HTTP/1.1" 400 15
::1 - - [03/Oct/2022:21:56:29 +0000] "GET /movies/Stephen%20Chow HTTP/1.1" 400 15
::1 - - [03/Oct/2022:21:57:21 +0000] "GET /movies/hero HTTP/1.1" 400 15
::1 - - [03/Oct/2022:21:57:25 +0000] "GET /movies/hero HTTP/1.1" 400 15
::1 - - [03/Oct/2022:21:57:45 +0000] "GET /movies/hero HTTP/1.1" 400 15
::1 - - [03/Oct/2022:21:57:50 +0000] "GET /movies/Hero HTTP/1.1" 200 611
::1 - - [03/Oct/2022:21:57:58 +0000] "GET /movies/Ang%20Lee HTTP/1.1" 400 15
::1 - - [03/Oct/2022:21:58:02 +0000] "GET /movies/Hero HTTP/1.1" 200 611
::1 - - [03/Oct/2022:22:27:18 +0000] "GET /movies/Shaolin%20Soccer HTTP/1.1" 200 733
::1 - - [03/Oct/2022:22:27:38 +0000] "GET /movies/Crouching%20Tiger,%20Hidden%20Dragon HTTP/1.1" 200 858
::1 - - [03/Oct/2022:22:35:46 +0000] "GET /movies/genre/drama HTTP/1.1" 404 157
::1 - - [03/Oct/2022:22:35:59 +0000] "GET /movies/genre/Action HTTP/1.1" 404 158
::1 - - [03/Oct/2022:22:39:21 +0000] "GET /movies/genre/Action HTTP/1.1" 404 158
::1 - - [03/Oct/2022:22:39:53 +0000] "GET /movies/genre/Action,%20Adventure,%20,Drama,%20History HTTP/1.1" 404 192
::1 - - [03/Oct/2022:22:42:35 +0000] "GET /movies/genre/Action HTTP/1.1" 404 158
::1 - - [03/Oct/2022:22:42:36 +0000] "GET /movies/genre/Action HTTP/1.1" 404 158
::1 - - [03/Oct/2022:22:44:45 +0000] "GET /movies/genre/Action HTTP/1.1" 404 158
::1 - - [03/Oct/2022:22:44:47 +0000] "GET /movies/genre/Action HTTP/1.1" 404 158
::1 - - [03/Oct/2022:22:45:34 +0000] "GET /movies/genre/Action HTTP/1.1" 500 16
